reviewer_alias,review_id,slot_id,task_id,base_family,axis,split,profile,category,label,source_lines,event_indices,request_ids
Reviewer1,R-1A956DDD78F53C,P-PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN-glm5,PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN,D3_ATTR_FLAT,ATTRIBUTE_COMBINATION,SEEN,glm5,F,V,"[57, 58, 60, 64]",[],[]
Reviewer1,R-1B231F4F7148EE,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[22, 31, 40, 97]",[27],[]
Reviewer1,R-20A0397BE3EC92,P-PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN-glm5,PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN,C5_INDEPENDENT,CONTROL_FLOW,SEEN,glm5,F,NA,[1],[],[]
Reviewer1,R-219DC6B16874DC,P-PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN-glm47,PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN,D8_ALLOCATION,CONTROL_FLOW,SEEN,glm47,F,C,"[42, 53]","[1, 3, 10]",[]
Reviewer1,R-227FA888034B65,P-PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN-glm47,PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN,D7_BUFFER_PREFETCH,CONTROL_FLOW,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-23BB4FA1BB39BA,P-PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-SEEN-glm5,PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-SEEN,D6_RESOURCE_SPAN,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[44],[],[]
Reviewer1,R-24AAF24987087A,P-PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT,C5_INDEPENDENT,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-25ACF5E1D0C792,P-PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-SEEN-glm47,PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-SEEN,D8_ALLOCATION,ATTRIBUTE_COMBINATION,SEEN,glm47,F,C,"[63, 84]","[8, 10, 14]",[]
Reviewer1,R-29BBE280370E68,P-PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN-glm47,PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN,C3_EXCHANGE,CONTROL_FLOW,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-2D2632E5086D62,P-PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN-glm5,PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN,D7_BUFFER_PREFETCH,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[136],[],[]
Reviewer1,R-2D839235C7A621,P-PX13_D5_FRESHNESS-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX13_D5_FRESHNESS-ATTRIBUTE_COMBINATION-HELDOUT,D5_FRESHNESS,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,V,"[12, 21]","[8, 9]",[5]
Reviewer1,R-306FD619901BA2,P-PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-SEEN-glm5,PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-SEEN,C1_BUFFER,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[5],[],[]
Reviewer1,R-339F4F1E7A54FA,P-PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-SEEN-glm47,PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-SEEN,C5_INDEPENDENT,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-374AB1B525E3EE,P-PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-SEEN-glm47,PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-SEEN,C1_BUFFER,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-3C666923B257EC,P-PX06_C6_VERIFY_JOIN-CONTROL_FLOW-HELDOUT-glm47,PX06_C6_VERIFY_JOIN-CONTROL_FLOW-HELDOUT,C6_VERIFY_JOIN,CONTROL_FLOW,HELDOUT,glm47,F,U,[38],[0],[]
Reviewer1,R-3D99DAE1FE6A8C,P-PX10_D2_EVENT-CONTROL_FLOW-SEEN-glm5,PX10_D2_EVENT-CONTROL_FLOW-SEEN,D2_EVENT,CONTROL_FLOW,SEEN,glm5,F,V,"[16, 24, 34, 44]",[],[17]
Reviewer1,R-3F300B5C1A34B5,P-PX13_D5_FRESHNESS-ATTRIBUTE_COMBINATION-SEEN-glm5,PX13_D5_FRESHNESS-ATTRIBUTE_COMBINATION-SEEN,D5_FRESHNESS,ATTRIBUTE_COMBINATION,SEEN,glm5,F,V,"[18, 25]","[9, 10]",[6]
Reviewer1,R-4027CA4BE35B40,P-PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN-glm47,PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN,D3_ATTR_FLAT,ATTRIBUTE_COMBINATION,SEEN,glm47,F,U,"[192, 193]",[41],[]
Reviewer1,R-43550E21728B09,P-PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-HELDOUT-glm47,PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-HELDOUT,C2_DUAL_RESOURCE,CONTROL_FLOW,HELDOUT,glm47,F,U,[77],[18],[]
Reviewer1,R-45BAE0F336C90A,P-PX06_C6_VERIFY_JOIN-CONTROL_FLOW-HELDOUT-glm5,PX06_C6_VERIFY_JOIN-CONTROL_FLOW-HELDOUT,C6_VERIFY_JOIN,CONTROL_FLOW,HELDOUT,glm5,F,V,"[4, 8, 14, 20]","[1, 3, 30]","[2, 4]"
Reviewer1,R-4F0790CE973F7B,P-PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN-glm5,PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN,D7_BUFFER_PREFETCH,CONTROL_FLOW,SEEN,glm5,F,NA,[5],[],[]
Reviewer1,R-51142B9A9023AC,P-PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN-glm47,PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN,D4_ATTR_NESTED,ATTRIBUTE_COMBINATION,SEEN,glm47,F,U,"[128, 130]",[22],[]
Reviewer1,R-52EEDE1A86A953,P-PX03_C3_EXCHANGE-CONTROL_FLOW-HELDOUT-glm47,PX03_C3_EXCHANGE-CONTROL_FLOW-HELDOUT,C3_EXCHANGE,CONTROL_FLOW,HELDOUT,glm47,F,V,"[4, 36, 43, 49, 129]",[],[]
Reviewer1,R-59CCA91E3E28C8,P-PX10_D2_EVENT-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX10_D2_EVENT-ATTRIBUTE_COMBINATION-HELDOUT,D2_EVENT,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,NA,[5],[],[]
Reviewer1,R-59E50E241A181B,P-PX03_C3_EXCHANGE-CONTROL_FLOW-HELDOUT-glm5,PX03_C3_EXCHANGE-CONTROL_FLOW-HELDOUT,C3_EXCHANGE,CONTROL_FLOW,HELDOUT,glm5,F,U,"[59, 63]",[22],[]
Reviewer1,R-5B3E8A790BE6BD,P-PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-SEEN-glm5,PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-SEEN,C2_DUAL_RESOURCE,CONTROL_FLOW,SEEN,glm5,F,NA,[6],[],[]
Reviewer1,R-5BAC4D35A03EE5,P-PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-HELDOUT-glm5,PX02_C2_DUAL_RESOURCE-CONTROL_FLOW-HELDOUT,C2_DUAL_RESOURCE,CONTROL_FLOW,HELDOUT,glm5,F,U,[42],[0],[]
Reviewer1,R-5C5606CD63FAEF,P-PX07_C7_ATTR_FLAT-CONTROL_FLOW-HELDOUT-glm47,PX07_C7_ATTR_FLAT-CONTROL_FLOW-HELDOUT,C7_ATTR_FLAT,CONTROL_FLOW,HELDOUT,glm47,F,V,[],[46],[]
Reviewer1,R-62658A64F4C874,P-PX02_C2_DUAL_RESOURCE-ATTRIBUTE_COMBINATION-SEEN-glm5,PX02_C2_DUAL_RESOURCE-ATTRIBUTE_COMBINATION-SEEN,C2_DUAL_RESOURCE,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[109],[],[]
Reviewer1,R-636174F3D43738,P-PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN-glm47,PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN,D1_OBSERVATION,CONTROL_FLOW,SEEN,glm47,F,U,"[99, 138, 147]",[15],[]
Reviewer1,R-65D08C932920B2,P-PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT,D8_ALLOCATION,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,C,[55],"[6, 8, 12]",[]
Reviewer1,R-65F28892B326CF,P-PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT-glm47,PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT,D8_ALLOCATION,CONTROL_FLOW,HELDOUT,glm47,F,C,"[35, 57]","[1, 3, 10]",[]
Reviewer1,R-68954989C8FBE6,P-PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN-glm47,PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN,D7_BUFFER_PREFETCH,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-6E7A56E4005956,P-PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-HELDOUT,D1_OBSERVATION,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[16, 80, 85, 101]",[11],[]
Reviewer1,R-6ECCE3DC4B2164,P-PX01_C1_BUFFER-CONTROL_FLOW-HELDOUT-glm5,PX01_C1_BUFFER-CONTROL_FLOW-HELDOUT,C1_BUFFER,CONTROL_FLOW,HELDOUT,glm5,F,U,"[65, 69]",[21],[]
Reviewer1,R-6F8346273A91F7,P-PX10_D2_EVENT-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX10_D2_EVENT-ATTRIBUTE_COMBINATION-HELDOUT,D2_EVENT,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-70B5C075DBB090,P-PX07_C7_ATTR_FLAT-CONTROL_FLOW-SEEN-glm47,PX07_C7_ATTR_FLAT-CONTROL_FLOW-SEEN,C7_ATTR_FLAT,CONTROL_FLOW,SEEN,glm47,F,V,"[94, 95, 98]",[51],[]
Reviewer1,R-72748B32B8A71D,P-PX04_C4_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX04_C4_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT,C4_ALLOCATION,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,C,[39],"[6, 8, 12]",[]
Reviewer1,R-75C1B199D8F4D0,P-PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN-glm5,PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN,C3_EXCHANGE,CONTROL_FLOW,SEEN,glm5,F,NA,[1],[],[]
Reviewer1,R-77303BACED085E,P-PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-SEEN-glm5,PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-SEEN,D1_OBSERVATION,ATTRIBUTE_COMBINATION,SEEN,glm5,F,U,"[25, 29, 50]","[21, 24]",[]
Reviewer1,R-791C851513924F,P-PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT,D4_ATTR_NESTED,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[55, 71, 100, 121]","[48, 49, 73]",[]
Reviewer1,R-796119EFC7BBC0,P-PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-HELDOUT,C6_VERIFY_JOIN,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,V,"[46, 59, 67, 73, 81]","[15, 26, 32]","[9, 15]"
Reviewer1,R-7AFE4B8BD6BF46,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN-glm5,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,SEEN,glm5,F,U,"[63, 64]",[45],[]
Reviewer1,R-7B0E1BDBD5C1FA,P-PX08_C8_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN-glm5,PX08_C8_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN,C8_ATTR_NESTED,ATTRIBUTE_COMBINATION,SEEN,glm5,F,V,"[22, 23, 24, 26]",[53],[]
Reviewer1,R-7C37A1ECCA9B3F,P-PX04_C4_ALLOCATION-CONTROL_FLOW-HELDOUT-glm5,PX04_C4_ALLOCATION-CONTROL_FLOW-HELDOUT,C4_ALLOCATION,CONTROL_FLOW,HELDOUT,glm5,F,C,"[7, 14, 19, 40]","[4, 9, 17]",[]
Reviewer1,R-7D35EDBC6F6B92,P-PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT,D6_RESOURCE_SPAN,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,NA,[61],[],[]
Reviewer1,R-7EAD9DD48E1FC1,P-PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-HELDOUT-glm47,PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-HELDOUT,D7_BUFFER_PREFETCH,CONTROL_FLOW,HELDOUT,glm47,F,U,"[50, 62, 70, 77]",[33],[]
Reviewer1,R-849C26D9FC7C76,P-PX10_D2_EVENT-ATTRIBUTE_COMBINATION-SEEN-glm47,PX10_D2_EVENT-ATTRIBUTE_COMBINATION-SEEN,D2_EVENT,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-86E39E42AE90E0,P-PX02_C2_DUAL_RESOURCE-ATTRIBUTE_COMBINATION-SEEN-glm47,PX02_C2_DUAL_RESOURCE-ATTRIBUTE_COMBINATION-SEEN,C2_DUAL_RESOURCE,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-88807C3D0AB033,P-PX06_C6_VERIFY_JOIN-CONTROL_FLOW-SEEN-glm47,PX06_C6_VERIFY_JOIN-CONTROL_FLOW-SEEN,C6_VERIFY_JOIN,CONTROL_FLOW,SEEN,glm47,F,U,[],[5],[]
Reviewer1,R-8888256C421438,P-PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX01_C1_BUFFER-ATTRIBUTE_COMBINATION-HELDOUT,C1_BUFFER,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-8CFA9A5F764B04,P-PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT,D4_ATTR_NESTED,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,U,"[62, 112, 116, 117]",[41],[]
Reviewer1,R-8DDA4E4A3D1C96,P-PX07_C7_ATTR_FLAT-CONTROL_FLOW-HELDOUT-glm5,PX07_C7_ATTR_FLAT-CONTROL_FLOW-HELDOUT,C7_ATTR_FLAT,CONTROL_FLOW,HELDOUT,glm5,F,U,"[71, 72, 94]",[37],[]
Reviewer1,R-8F9FA6D6183FAD,P-PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-HELDOUT,C3_EXCHANGE,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-908DEB6CDD3D7F,P-PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-SEEN-glm5,PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-SEEN,C6_VERIFY_JOIN,ATTRIBUTE_COMBINATION,SEEN,glm5,F,V,"[8, 14, 21]",[28],[]
Reviewer1,R-920101F35AFC28,P-PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT-glm5,PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT,D6_RESOURCE_SPAN,CONTROL_FLOW,HELDOUT,glm5,F,C,"[27, 31, 36, 45]","[8, 36]",[]
Reviewer1,R-930B8CD58D7FCC,P-PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-HELDOUT,D7_BUFFER_PREFETCH,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-97E90216DE6828,P-PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX06_C6_VERIFY_JOIN-ATTRIBUTE_COMBINATION-HELDOUT,C6_VERIFY_JOIN,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[32, 42]",[5],[]
Reviewer1,R-9DA03E3DE53CAD,P-PX11_D3_ATTR_FLAT-CONTROL_FLOW-HELDOUT-glm5,PX11_D3_ATTR_FLAT-CONTROL_FLOW-HELDOUT,D3_ATTR_FLAT,CONTROL_FLOW,HELDOUT,glm5,F,U,"[76, 80, 85, 87]",[20],[]
Reviewer1,R-9E4021ACFE6E1C,P-PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT,D3_ATTR_FLAT,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[21, 26, 34, 36]",[7],[]
Reviewer1,R-A0B8FBC3F52524,P-PX13_D5_FRESHNESS-CONTROL_FLOW-SEEN-glm47,PX13_D5_FRESHNESS-CONTROL_FLOW-SEEN,D5_FRESHNESS,CONTROL_FLOW,SEEN,glm47,F,V,"[44, 56]","[5, 6]",[4]
Reviewer1,R-A1BBAB516561F2,P-PX04_C4_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX04_C4_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT,C4_ALLOCATION,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,"[32, 33, 36, 39]","[1, 3, 14]",[]
Reviewer1,R-A26B13903F163B,P-PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN-glm47,PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN,C3_EXCHANGE,ATTRIBUTE_COMBINATION,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-A5711E945476A2,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN-glm47,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,SEEN,glm47,F,U,"[56, 70, 98, 106]",[33],[]
Reviewer1,R-A851A16E713727,P-PX05_C5_INDEPENDENT-CONTROL_FLOW-HELDOUT-glm47,PX05_C5_INDEPENDENT-CONTROL_FLOW-HELDOUT,C5_INDEPENDENT,CONTROL_FLOW,HELDOUT,glm47,F,C,[53],"[8, 20]",[]
Reviewer1,R-A8CDC3250A0B79,P-PX08_C8_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX08_C8_ATTR_NESTED-ATTRIBUTE_COMBINATION-HELDOUT,C8_ATTR_NESTED,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,U,[],[35],[]
Reviewer1,R-A8DD3C0CE303A6,P-PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN-glm47,PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN,C5_INDEPENDENT,CONTROL_FLOW,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-AC939557B09827,P-PX01_C1_BUFFER-CONTROL_FLOW-SEEN-glm47,PX01_C1_BUFFER-CONTROL_FLOW-SEEN,C1_BUFFER,CONTROL_FLOW,SEEN,glm47,F,NA,[4],[],[]
Reviewer1,R-AD169A0283CD61,P-PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-HELDOUT,D8_ALLOCATION,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,V,"[32, 112, 115]","[6, 8, 21, 22]",[]
Reviewer1,R-AE2297ABE8024F,P-PX06_C6_VERIFY_JOIN-CONTROL_FLOW-SEEN-glm5,PX06_C6_VERIFY_JOIN-CONTROL_FLOW-SEEN,C6_VERIFY_JOIN,CONTROL_FLOW,SEEN,glm5,F,V,"[4, 14, 15, 18, 24]","[7, 8]","[5, 6, 13]"
Reviewer1,R-AFCEA98177D191,P-PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT,C5_INDEPENDENT,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,NA,[1],[],[]
Reviewer1,R-AFD42CFA1CF000,P-PX05_C5_INDEPENDENT-CONTROL_FLOW-HELDOUT-glm5,PX05_C5_INDEPENDENT-CONTROL_FLOW-HELDOUT,C5_INDEPENDENT,CONTROL_FLOW,HELDOUT,glm5,F,V,"[20, 21, 24]",[],[]
Reviewer1,R-B11282027715B7,P-PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-HELDOUT,C3_EXCHANGE,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,NA,[6],[],[]
Reviewer1,R-B3EC6F49DB9091,P-PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN-glm47,PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN,C4_ALLOCATION,CONTROL_FLOW,SEEN,glm47,F,C,"[18, 35]","[2, 3, 10]",[]
Reviewer1,R-B3EF5B43C08616,P-PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-SEEN-glm5,PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-SEEN,D6_RESOURCE_SPAN,CONTROL_FLOW,SEEN,glm5,F,NA,[1],[],[]
Reviewer1,R-B44759ACEBE5A4,P-PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-SEEN-glm47,PX09_D1_OBSERVATION-ATTRIBUTE_COMBINATION-SEEN,D1_OBSERVATION,ATTRIBUTE_COMBINATION,SEEN,glm47,F,V,"[70, 76, 115]",[],[]
Reviewer1,R-B95E61D52320B4,P-PX11_D3_ATTR_FLAT-CONTROL_FLOW-SEEN-glm5,PX11_D3_ATTR_FLAT-CONTROL_FLOW-SEEN,D3_ATTR_FLAT,CONTROL_FLOW,SEEN,glm5,F,V,[],"[44, 46]",[]
Reviewer1,R-BA5BE44D41CADD,P-PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN-glm5,PX12_D4_ATTR_NESTED-ATTRIBUTE_COMBINATION-SEEN,D4_ATTR_NESTED,ATTRIBUTE_COMBINATION,SEEN,glm5,F,U,"[87, 93, 94, 98]",[3],[]
Reviewer1,R-BBEF9C416DA76F,P-PX10_D2_EVENT-CONTROL_FLOW-HELDOUT-glm47,PX10_D2_EVENT-CONTROL_FLOW-HELDOUT,D2_EVENT,CONTROL_FLOW,HELDOUT,glm47,F,V,"[4, 40, 44, 45, 59]",[],[]
